date,ic_lgbm,n
2011-01-03,0.2709280566402042,622
2011-01-04,0.026529112488730848,616
2011-01-05,0.18669985761240737,618
2011-01-06,0.11594351686043756,617
2011-01-07,-0.007793320987101321,618
2011-01-10,0.3172386814872711,624
2011-01-11,0.11379331876734569,626
2011-01-12,0.06824178047356762,624
2011-01-13,-0.0049116091614368,620
2011-01-14,0.1496875538270719,617
2011-01-18,0.178359462684492,617
2011-01-19,-0.07486883270028487,607
2011-01-20,0.20323515220993363,607
2011-01-21,0.07168332129325655,602
2011-01-24,0.03316827797480661,598
2011-01-25,0.1926568376278932,585
2011-01-26,0.1198143902252746,595
2011-01-27,0.11558476883991996,609
2011-01-28,0.08200924142008978,626
2011-01-31,0.28784075890871885,630
2011-02-01,0.1192493704529199,623
2011-02-02,0.09464445386685545,631
2011-02-03,0.06207219967577753,631
2011-02-04,0.22137164246755084,639
2011-02-07,0.049904972749278166,644
2011-02-08,0.07416647649390667,640
2011-02-09,-0.07820885840772937,650
2011-02-10,0.10530209631184914,655
2011-02-11,0.16837300832922697,660
2011-02-14,0.09804594820865573,656
2011-02-15,0.04986762491584166,650
2011-02-16,0.102200421590922,651
2011-02-17,0.05736677400720794,647
2011-02-18,-0.035480680193656605,648
2011-02-22,0.07492575274206363,645
2011-02-23,-0.005612763590581881,648
2011-02-24,0.3138943337541682,656
2011-02-25,0.23318427022865298,665
2011-02-28,-0.013447835907357895,670
2011-03-01,0.06035169869033098,669
2011-03-02,0.3605163786052611,671
2011-03-03,0.06887362037999839,677
2011-03-04,0.07808141406739481,677
2011-03-07,0.10239520703327014,678
2011-03-08,-0.06596913478095708,679
2011-03-09,-0.06423401333703949,682
2011-03-10,-0.002786975181803917,687
2011-03-11,0.034238835230520806,689
2011-03-14,0.12048278988019087,689
2011-03-15,0.06499368656212413,684
2011-03-16,-0.16459794465762964,682
2011-03-17,0.3448976341293365,688
2011-03-18,0.15145240885884503,685
2011-03-21,0.004312474424679742,685
2011-03-22,-0.11841385071042868,681
2011-03-23,0.26266261565062066,684
2011-03-24,0.11012380925262485,682
2011-03-25,0.02378616948684888,674
2011-03-28,-0.009336282915415032,673
2011-03-29,0.3247933794663739,673
2011-03-30,0.05494241652463071,669
2011-03-31,0.1694925309617769,673
2011-04-01,0.16684045580230908,669
2011-04-04,0.026139077036674084,672
2011-04-05,0.2377199819797033,668
2011-04-06,0.10121442747597509,668
2011-04-07,0.3254438765771417,670
2011-04-08,0.07317733347398607,670
2011-04-11,-0.26412638976435804,668
2011-04-12,0.1937303795952787,668
2011-04-13,-0.2742016766439122,664
2011-04-14,0.1253522474856462,657
2011-04-15,-0.03859751994483308,652
2011-04-18,-0.09406217415448008,643
2011-04-19,0.207755340175754,629
2011-04-20,0.2030157088223333,625
2011-04-21,0.10707502033499833,611
2011-04-25,0.04516256703966959,619
2011-04-26,0.12060747473382592,588
2011-04-27,-0.04812813237031825,593
2011-04-28,-0.005868723702971469,604
2011-04-29,0.11172290931916906,623
2011-05-02,-0.02365847228343716,618
2011-05-03,0.09676987627584925,610
2011-05-04,-0.1972852464375099,627
2011-05-05,0.25204113741051687,645
2011-05-06,0.09951538651445846,657
2011-05-09,0.06443427924175948,660
2011-05-10,0.06213187718969937,661
2011-05-11,0.050059623304849636,665
2011-05-12,0.05357138706226201,669
2011-05-13,0.040027058806933705,671
2011-05-16,-0.049711314716136434,661
2011-05-17,0.04716605356167971,662
2011-05-18,0.10688779010565552,664
2011-05-19,0.05315930915370917,666
2011-05-20,-0.0967193659111623,665
2011-05-23,0.07287068024612019,663
2011-05-24,-0.09620278890555618,659
2011-05-25,0.07145480267626372,660
2011-05-26,-0.009160375360110573,662
2011-05-27,0.10141876784487285,663
2011-05-31,-0.007289845699153975,663
2011-06-01,0.1289735629466767,671
2011-06-02,-0.36323441158622616,672
2011-06-03,0.152340653815221,671
2011-06-06,0.10424466652272403,667
2011-06-07,-0.07501804778305181,666
2011-06-08,0.09920635607580677,668
2011-06-09,-0.01895216705646435,671
2011-06-10,0.06840085483024005,675
2011-06-13,0.28057582071351533,681
2011-06-14,-0.34380173252777746,681
2011-06-15,0.06738203855956389,678
2011-06-16,0.22663610912997625,680
2011-06-17,-0.16738573869174794,678
2011-06-20,0.18370747066971696,682
2011-06-21,0.013951004219034054,678
2011-06-22,0.06682145919739177,678
2011-06-23,0.022184823649837707,680
2011-06-24,0.06936498726389757,676
2011-06-27,0.08582509815138839,692
2011-06-28,0.07303688044579745,694
2011-06-29,0.13641921812486354,684
2011-06-30,0.1647189203657179,686
2011-07-01,0.09484546983002955,689
2011-07-05,0.03430619278445242,686
